order_id,order_date,order_time,customer_id
1,1/1/2015,11:38:36,CUST057
2,1/1/2015,11:57:40,CUST256
3,1/1/2015,12:12:28,CUST108
4,1/1/2015,12:16:31,CUST010
5,1/1/2015,12:21:30,CUST287
6,1/1/2015,12:29:36,CUST041
7,1/1/2015,12:50:37,CUST222
8,1/1/2015,12:51:37,CUST243
9,1/1/2015,12:52:01,CUST108
10,1/1/2015,13:00:15,CUST197
11,1/1/2015,13:02:59,CUST063
12,1/1/2015,13:04:41,CUST158
13,1/1/2015,13:11:55,CUST254
14,1/1/2015,13:14:19,CUST207
15,1/1/2015,13:33:00,CUST023
16,1/1/2015,13:34:07,CUST180
17,1/1/2015,13:53:00,CUST181
18,1/1/2015,13:57:08,CUST013
19,1/1/2015,13:59:09,CUST001
20,1/1/2015,14:03:08,CUST178
21,1/1/2015,14:14:29,CUST105
22,1/1/2015,14:16:26,CUST074
23,1/1/2015,14:19:03,CUST015
24,1/1/2015,14:23:01,CUST299
25,1/1/2015,14:44:44,CUST110
26,1/1/2015,14:54:26,CUST266
27,1/1/2015,15:11:17,CUST102
28,1/1/2015,15:35:46,CUST137
29,1/1/2015,15:41:01,CUST064
30,1/1/2015,15:41:25,CUST121
31,1/1/2015,15:50:18,CUST120
32,1/1/2015,15:53:18,CUST050
33,1/1/2015,15:54:08,CUST213
34,1/1/2015,16:21:21,CUST016
35,1/1/2015,16:32:04,CUST281
36,1/1/2015,16:54:09,CUST109
37,1/1/2015,16:56:09,CUST278
38,1/1/2015,17:03:00,CUST222
39,1/1/2015,17:07:23,CUST067
40,1/1/2015,17:14:36,CUST123
41,1/1/2015,17:15:20,CUST002
42,1/1/2015,17:28:09,CUST300
43,1/1/2015,17:38:34,CUST282
44,1/1/2015,17:54:20,CUST105
45,1/1/2015,17:55:48,CUST168
46,1/1/2015,18:25:51,CUST176
47,1/1/2015,18:26:34,CUST177
48,1/1/2015,18:26:42,CUST211
49,1/1/2015,18:33:00,CUST009
50,1/1/2015,18:41:01,CUST255
51,1/1/2015,18:48:28,CUST079
52,1/1/2015,18:53:02,CUST002
53,1/1/2015,18:54:17,CUST019
54,1/1/2015,19:01:45,CUST013
55,1/1/2015,19:03:19,CUST060
56,1/1/2015,19:07:00,CUST278
57,1/1/2015,19:10:51,CUST253
58,1/1/2015,19:30:40,CUST266
59,1/1/2015,19:40:08,CUST198
60,1/1/2015,20:05:16,CUST254
61,1/1/2015,20:08:43,CUST096
62,1/1/2015,20:50:16,CUST204
63,1/1/2015,20:51:42,CUST035
64,1/1/2015,20:52:08,CUST138
65,1/1/2015,21:16:00,CUST205
66,1/1/2015,21:47:55,CUST237
67,1/1/2015,22:03:40,CUST273
68,1/1/2015,22:07:32,CUST221
69,1/1/2015,22:12:13,CUST022
70,1/2/2015,11:38:51,CUST020
71,1/2/2015,11:40:50,CUST068
72,1/2/2015,11:57:25,CUST296
73,1/2/2015,11:58:56,CUST224
74,1/2/2015,12:01:12,CUST215
75,1/2/2015,12:10:15,CUST131
76,1/2/2015,12:21:17,CUST034
77,1/2/2015,12:22:46,CUST083
78,1/2/2015,12:28:14,CUST077
